miRNAs,Score,P-value
hsa-miR-548i,13.96753526466696,0.0006104433896100263
hsa-miR-6769b-3p,13.009377342071351,0.0008890453428976033
hsa-miR-1284,11.281024385184315,0.0017913613362545023
hsa-miR-128-2-5p,10.507319066887678,0.002476176610071239
hsa-miR-1306-3p,9.869532658467834,0.0032500744309264455
hsa-miR-217,9.47936879787178,0.003847548450004957
hsa-miR-203b-3p,9.228890485428296,0.0042920626104485105
hsa-miR-627-3p,9.217886284457958,0.004312806145395921
hsa-miR-3914,8.82835435886941,0.00512054806350023
hsa-miR-146a-3p,8.768022211205887,0.005259458533472355
hsa-miR-3187-3p,8.66253557689932,0.005512091015822372
hsa-miR-5687,8.290172421402161,0.00651274775496793
hsa-miR-5708,8.002582376390983,0.007418098618633689
hsa-miR-383-5p,7.771798348180669,0.008241934720849997
hsa-miR-3151-5p,7.674025360905836,0.00862002525830724
hsa-miR-4667-3p,7.418445236156068,0.009698927651111881
hsa-miR-195-5p,7.240203948066831,0.010536587955039853
hsa-miR-873-5p,6.999217015384312,0.011794755281778372
hsa-miR-758-3p,6.919538963389568,0.012245491800112198
hsa-miR-20a-5p,6.901947715944927,0.012347477525419558
hsa-miR-2115-3p,6.782508781521461,0.01306453212219112
hsa-miR-2277-3p,6.698571492879424,0.013595175658034841
hsa-miR-302d-3p,6.573715521335057,0.014427849197224141
hsa-miR-541-5p,6.539821192575432,0.014663248154219802
hsa-miR-744-3p,6.5322146047027205,0.014716642458646149
hsa-miR-16-5p,6.52838049902167,0.014743635191449219
hsa-miR-4662b,6.501121774930426,0.014937084317135795
hsa-miR-1343-3p,6.432810490608411,0.015433983811156814
hsa-miR-371a-5p,6.409567724192298,0.015607088062326052
hsa-miR-539-5p,6.36168224120183,0.015970351688965264
hsa-miR-873-3p,6.3144207110725485,0.01633782960152374
hsa-miR-491-5p,6.311364226247549,0.01636190671923469
hsa-miR-105-5p,6.269599704731404,0.01669476180385048
hsa-miR-370-3p,6.193552110297444,0.017319745402470176
hsa-miR-301b-3p,6.132435058662047,0.01784031531411318
hsa-miR-7157-3p,6.123060772012046,0.01792164370813961
hsa-miR-548at-5p,6.015784030893012,0.018881373586477002
hsa-miR-5001-5p,5.9928032593690235,0.019094097490036085
hsa-miR-320e,5.897630655774242,0.020003036227112313
hsa-miR-135a-5p,5.875170143413092,0.020224293027535298
hsa-miR-6829-5p,5.8241378067794125,0.020736903860916537
hsa-miR-216a-5p,5.818791108716528,0.020791417945610752
hsa-miR-6720-5p,5.7775607341748385,0.021217037832639733
hsa-miR-548d-5p,5.613292146591776,0.02300877729452976
hsa-miR-17-5p,5.571013584222681,0.023495982581156597
hsa-miR-652-3p,5.540324623411019,0.023856628692590063
hsa-miR-4763-5p,5.537259950407409,0.023892971679149395
hsa-miR-653-3p,5.489584167629853,0.02446613767754299
hsa-miR-216b-5p,5.47986493412155,0.024584802603116466
hsa-miR-548ay-5p,5.410212235889318,0.025453693389279785
hsa-miR-1247-5p,5.408615681321414,0.025473996169240083
hsa-miR-1246,5.359692477487332,0.02610473025878723
hsa-miR-3607-5p,5.335405233105395,0.02642412592368663
hsa-miR-146a-5p,5.305869523147931,0.026818269717142844
hsa-miR-346,5.278032931452926,0.02719558674226064
hsa-miR-5188,5.274875233680061,0.02723875110373955
hsa-miR-373-3p,5.26560170712006,0.027365946822437107
hsa-miR-6790-3p,5.249892491801423,0.027582888720904853
hsa-miR-3180,5.162177397879537,0.02882907743468826
hsa-miR-760,5.140604660445489,0.029144854444900933
hsa-miR-3919,5.110207054811806,0.029596207943298366
hsa-miR-93-5p,5.099264359443662,0.029760544615737076
hsa-miR-1296-3p,5.080400805948799,0.03004617111836711
hsa-miR-6794-5p,5.066191892379696,0.030263287292691492
hsa-miR-6728-3p,5.063445247535538,0.030305453331830535
hsa-miR-548b-5p,5.005454967210144,0.03121080206778614
hsa-miR-7855-5p,4.992747867814981,0.03141309320608723
hsa-miR-6499-5p,4.978745499857762,0.031637659020357214
hsa-miR-588,4.976070231043932,0.03168076275837773
hsa-miR-548ad-5p,4.973757821224149,0.03171807166778992
hsa-miR-671-5p,4.960277671013952,0.03193651797027933
hsa-miR-616-3p,4.954335889882672,0.03203332455828275
hsa-miR-548ae-5p,4.890866717238507,0.03308758027862815
hsa-miR-329-3p,4.886829642251291,0.03315590557149103
hsa-miR-6858-3p,4.872555650021576,0.03339872105058027
hsa-miR-6874-5p,4.828834869593753,0.03415460060235865
hsa-miR-517b-3p,4.820033751698876,0.03430900567778574
hsa-miR-517a-3p,4.820033751698876,0.03430900567778574
hsa-miR-365b-3p,4.751498204361382,0.03553776365759561
hsa-miR-365a-3p,4.751498204361382,0.03553776365759561
hsa-miR-4768-5p,4.745242052235779,0.03565229837656342
hsa-miR-23b-3p,4.613286462965567,0.03816449148811178
hsa-miR-874-5p,4.553121796306201,0.03937360202919648
hsa-miR-668-3p,4.551064810390212,0.03941567478599105
hsa-miR-135b-5p,4.505251904849421,0.040365581049699416
hsa-miR-1912,4.476088499056946,0.04098330822544959
hsa-miR-194-5p,4.440074298658493,0.04176047547938005
hsa-miR-4761-3p,4.425258247854894,0.04208487368410821
hsa-miR-1245b-3p,4.3908981848407205,0.04284787078527527
hsa-miR-664b-3p,4.388836382602096,0.042894134932326675
hsa-miR-489-3p,4.36355765309483,0.04346583176944706
hsa-miR-6733-3p,4.349548393972764,0.043786256779942995
hsa-miR-424-5p,4.341077941543999,0.04398125271924862
hsa-miR-3613-3p,4.3101407936048055,0.04470158616378317
hsa-miR-1264,4.305434014624297,0.044812308194162875
hsa-miR-134-3p,4.30209764456394,0.04489097512883413
hsa-miR-181d-3p,4.287171503309244,0.04524477393584701
hsa-miR-335-3p,4.284973570345154,0.04529713032799905
hsa-miR-5587-3p,4.281311784119464,0.04538450460446247
hsa-miR-6855-5p,4.173900371556865,0.04803168700809056
hsa-miR-135a-3p,4.1721803923759975,0.04807543412799539
hsa-miR-653-5p,4.156183037797792,0.048484427933671484
hsa-miR-3678-5p,4.155382264626067,0.04850500113515982
hsa-miR-133a-3p,4.107693078739599,0.04974771322572891
hsa-miR-4324,4.102610855955392,0.04988220181050334
